x,y,z
32.38216647,-99.75394602,0
32.38216646,-99.75394602,0
32.38216647,-99.75394606,0
32.38216651,-99.75394606,0
32.38216646,-99.75394606,0
32.38216642,-99.75394606,0
32.38216641,-99.7539461,0
32.38216636,-99.75394616,0
32.38216631,-99.75394617,0
32.38216626,-99.75394617,0
32.38216619,-99.75394617,0
32.38216604,-99.75394608,0
32.38216603,-99.75394608,0
32.38216598,-99.75394607,0
32.38216595,-99.75394606,0
32.382166,-99.75394603,0
32.38216604,-99.753946,0
32.382166,-99.75394594,0
32.38216597,-99.75394589,0
32.38216596,-99.75394581,0
32.38216596,-99.7539458,0
32.38216597,-99.7539458,0
32.38216598,-99.7539458,0
32.38216592,-99.75394587,0
32.38216588,-99.75394587,0
32.38216587,-99.75394587,0
32.38216586,-99.75394587,0
32.38216577,-99.75394575,0
32.38216572,-99.75394568,0
32.38216571,-99.75394561,0
32.38216569,-99.75394553,0
32.38216563,-99.75394545,0
32.38216555,-99.75394535,0
32.38216544,-99.75394516,0
32.38216531,-99.75394491,0
32.38216523,-99.75394462,0
32.38216517,-99.75394446,0
32.38216511,-99.75394432,0.3
32.38216507,-99.75394425,0.3
32.38216521,-99.75394434,0.3
32.38216565,-99.75394468,0.7
32.3821658,-99.75394494,0.7
32.38216594,-99.7539452,0.7
32.38216605,-99.75394546,0.3
32.38216647,-99.75394616,0.3
32.38216657,-99.75394632,0.3
32.38216669,-99.75394647,0.3
32.38216675,-99.75394654,0.3
32.38216674,-99.75394645,0.3
32.38216695,-99.75394641,0.3
32.38216715,-99.75394637,0.3
32.38216732,-99.75394629,0.3
32.38216748,-99.75394622,0.3
32.38216775,-99.75394558,0.3
32.38216789,-99.75394552,0.3
32.38216802,-99.75394554,0.3
32.38216813,-99.75394556,0.3
32.38216818,-99.75394567,0.3
32.38216826,-99.75394572,0.3
32.38216832,-99.75394582,0.3
32.38216839,-99.75394592,0.3
32.38216852,-99.75394623,0.3
32.38216866,-99.7539464,0.3
32.38216878,-99.75394655,0.3
32.38216906,-99.75394671,0.3
32.38216921,-99.75394675,0.3
32.38216927,-99.75394678,0.3
32.38216933,-99.75394679,0.3
32.38216942,-99.7539468,0.3
32.38216949,-99.75394669,0.7
32.38216952,-99.75394678,0.7
32.38216953,-99.75394688,0.7
32.3821696,-99.75394691,0.7
32.38216961,-99.75394692,0.7
32.38216965,-99.75394696,0.7
32.38216969,-99.75394701,0.7
32.38216973,-99.75394706,1
32.3821697,-99.75394709,1
32.38216978,-99.75394707,1
32.38216986,-99.75394704,1
