x,y,z
3821367993026,75388292,40
3821369419543,75388315,40
3821371069026,75388335,40
3821371935033,75388349,41
3821374663002,75388378,41
3821377245975,75388407,41
3821380446779,75388419,41
3821388323888,75388425,41
3821390415657,75388436,41
3821392191117,75388446,41
3821393443065,75388451,41
3821395335187,75388421,41
3821396446176,75388441,41
3821397335958,75388461,41
3821398604321,75388481,41
3821401629318,75388513,42
3821403090749,75388530,42
3821404519936,75388547,42
3821405477136,75388563,41
3821407345222,75388574,41
3821408598668,75388584,41
3821409660218,75388595,41
3821410748865,75388613,41
3821411692125,75388630,41
3821413396389,75388642,41
3821413756731,75388661,41
3821414079163,75388680,41
3821414309360,75388700,41
3821414121568,75388698,41
3821414246046,75388711,41
3821414449081,75388727,41
3821414523663,75388744,41
3821414984643,75388759,41
3821415005292,75388777,41
3821415070755,75388799,41
3821415117133,75388818,41
3821416061436,75388813,41
3821416315147,75388819,41
3821416330324,75388826,41
3821416345306,75388832,41
3821416445618,75388842,41
3821416580258,75388845,41
3821416887708,75388858,41
3821417248376,75388871,41
3821417603507,75388881,40
3821417806672,75388898,40
3821418437010,75388907,40
3821418951598,75388916,40
3821419322492,75388931,40
3821420255721,75388951,40
3821420407948,75388970,40
3821420636191,75388988,40
3821421052030,75389001,40
3821421788413,75389018,40
3821422503234,75389027,40
3821423224244,75389035,40
3821424070579,75389046,40
3821424872816,75389055,40
3821426492206,75389053,40
3821427121567,75389058,40
3821428124297,75389069,40
3821429079347,75389079,40
3821431026771,75389083,40
3821432032498,75389086,40
3821432519598,75389094,40
3821432869713,75389103,40
3821434068900,75389115,40
3821434604267,75389121,40
3821435018869,75389127,40
3821435079707,75389128,40
3821435093517,75389134,40
3821434655400,75389143,40
3821434186082,75389152,40
3821433821767,75389156,40
3821432189024,75389163,40
3821431965536,75389170,40
3821431652419,75389176,40
3821431350180,75389179,40
3821431376495,75389182,40
3821430677698,75389183,40
3821430014400,75389184,40
3821429789414,75389186,40
3821429490822,75389186,40
3821429028084,75389189,40
3821428583323,75389191,40
3821428400156,75389194,40
3821428685850,75389204,40
3821427978780,75389202,40
3821427232692,75389199,40
3821426272105,75389200,41
3821425275302,75389200,41
3821423709781,75389197,40
3821422791730,75389194,41
3821421693311,75389198,41
3821420749661,75389201,41
3821419198144,75389226,41
3821418330184,75389234,41
3821418009706,75389240,40
3821417755929,75389248,41
3821417656985,75389264,41
3821417056871,75389275,41
3821415763561,75389285,40
3821414649770,75389294,40
3821412119364,75389309,40
3821411382851,75389316,41
3821410576966,75389323,41
3821409619767,75389330,41
3821408773693,75389332,41
3821408130327,75389329,40
3821407145574,75389336,40
3821406243547,75389343,40
3821404946459,75389352,41
3821403339184,75389372,41
3821402172958,75389375,41
3821401047703,75389379,40
3821399522958,75389382,40
3821397437117,75389380,40
3821396150255,75389389,40
3821394832975,75389398,40
3821393645187,75389410,40
